(195, 20, 0)
(185, 0, 0)
(160, 1, 0)
(15, 2, 0)
(28, 3, 0)
(74, 4, 0)
(60, 5, 0)
(42, 6, 0)
(110, 7, 0)
(118, 8, 0)
(139, 9, 0)
(122, 10, 0)
(78, 11, 0)
(121, 12, 0)
(114, 13, 0)
(120, 14, 0)
(170, 6, 0)
(126, 7, 0)
(116, 15, 0)
(124, 14, 0)
(171, 8, 0)
(123, 10, 0)
(117, 16, 0)
(94, 9, 0)
(99, 13, 0)
(79, 16, 0)
(76, 15, 0)
(104, 9, 0)
(89, 4, 0)
(181, 14, 0)
(87, 12, 0)
(130, 3, 0)
(119, 11, 0)
(182, 7, 0)
(83, 0, 0)
(84, 5, 0)
(80, 15, 0)
(88, 10, 0)
(92, 13, 0)
(77, 8, 0)
(141, 12, 0)
(234, 12, 0)
(161, 10, 0)
(29, 16, 0)
(138, 9, 0)
(125, 4, 0)
(159, 8, 0)
(235, 11, 0)
(164, 1, 0)
(247, 13, 0)
(103, 6, 0)
(179, 3, 0)
(188, 5, [0])
(261, 2, [0])
(17, 11, 0)
(31, 14, 0)
(131, 11, 0)
(140, 9, 0)
(244, 10, 0)
(156, 7, 0)
(95, 9, 0)
(112, 4, 0)
(163, 11, 0)
(168, 14, 0)
(149, 10, 0)
(105, 9, 0)
(96, 4, 0)
(93, 9, 0)
(166, 12, 0)
(167, 16, 0)
(165, 14, 0)
(172, 8, 0)
(69, 6, 0)
(115, 6, 0)
(134, 6, 0)
(128, 11, 0)
(189, 14, 0)
(146, 15, 0)
(233, 11, 0)
(229, 13, 0)
(177, 14, 0)
(90, 5, [0])
(237, 12, 0)
(71, 6, 0)
(100, 9, 0)
(148, 10, 0)
(135, 3, 0)
(32, 15, 0)
(162, 4, 0)
(70, 13, 0)
(55, 2, [0])
(173, 1, 0)
(30, 3, 0)
(58, 5, [0])
(64, 12, 0)
(34, 8, 0)
(46, 8, 0)
(153, 14, 0)
(142, 9, 0)
(155, 8, 0)
(176, 2, [0])
(178, 12, 0)
(169, 15, 0)
(98, 9, 0)
(72, 9, 0)
(81, 14, 0)
(136, 9, 0)
(151, 4, 0)
(154, 15, 0)
(85, 15, 0)
(129, 12, 0)
(127, 7, 0)
(113, 11, 0)
(62, 0, 0)
(240, 13, 0)
(56, 15, 0)
(57, 16, 0)
(150, 4, 0)
(199, 4, 0)
(101, 4, 0)
(194, 4, 0)
(4, 8, 0)
(157, 6, 0)
(202, 0, 0)
(187, 1, 0)
(211, 9, 0)
(246, 1, 0)
(63, 6, 0)
(263, 0, 0)
(111, 4, 0)
(25, 10, 0)
(184, 8, 0)
(230, 11, [0])
(269, 7, 0)
(2, 6, 0)
(73, 9, 0)
(10, 10, 0)
(27, 10, 0)
(193, 10, 0)
(196, 11, [0])
(183, 3, 0)
(3, 3, 0)
(18, 11, [0])
(6, 3, 0)
(11, 5, [0])
(152, 1, 0)
(192, 6, 0)
(215, 7, 0)
(132, 10, 0)
(133, 7, 0)
(107, 1, 0)
(158, 12, 0)
(212, 4, 0)
(265, 7, 0)
(245, 6, 0)
(267, 12, 0)
(266, 13, 0)
(268, 0, 0)
