(425, 53, 0)
(197, 0, 0)
(5, 1, 0)
(7, 2, 2)
(198, 3, 2)
(446, 4, 0)
(444, 5, 0)
(453, 6, 4)
(454, 7, 6)
(8, 8, 0)
(447, 9, 1)
(436, 10, 0)
(445, 11, 4)
(468, 12, 1)
(139, 13, 1)
(138, 14, 1)
(3, 15, 0)
(424, 16, 0)
(470, 17, 6)
(357, 18, 5)
(438, 19, 5)
(469, 20, 3)
(4, 21, 0)
(437, 22, 2)
(439, 23, 5)
(137, 24, 3)
(435, 25, 4)
(456, 26, 3)
(426, 53, 1)
(136, 27, 1)
(430, 28, 2)
(10, 29, 6)
(151, 30, 5)
(6, 31, 3)
(12, 32, 5)
(11, 33, 1)
(450, 34, 3)
(150, 35, 3)
(17, 36, 1)
(16, 37, 4)
(140, 38, 1)
(14, 39, 4)
(154, 40, 3)
(401, 41, 5)
(402, 42, 5)
(474, 43, 4)
(132, 44, 5)
(148, 45, 3)
(152, 46, 3)
(471, 47, 3)
(144, 48, 3)
(146, 49, 3)
(199, 50, 3)
(145, 51, 3)
(143, 52, 3)
(473, 49, 5)
(428, 50, 2)
(141, 47, 5)
(9, 52, 1)
(15, 49, 1)
(451, 51, 5)
(13, 48, 4)
(457, 51, 5)
(358, 45, 5)
(18, 24, 5)
(133, 46, 5)
(153, 34, 5)
(135, 34, 4)
(2, 48, 0)
(475, 45, 4)
(449, 45, 1)
(448, 40, 5)
(427, 46, 1)
(455, 44, 3)
(452, 46, 1)
(149, 26, 5)
(433, 44, 1)
(429, 26, 1)
(142, 42, 3)
(85, 35, 0)
(86, 42, 0)
(514, 41, 2)
(399, 24, 4)
(397, 41, 3)
(134, 39, 3)
(400, 20, 5)
(423, 31, 1)
(147, 31, 1)
(532, 32, 0)
(572, 43, 0)
(509, 39, 6)
(591, 47, 4)
(432, 47, 1)
(431, 20, 4)
(384, 37, 3)
(236, 30, 3)
(592, 37, 5)
(273, 37, 5)
(521, 23, 3)
(510, 51, 4)
(220, 23, 4)
(520, 24, 1)
(527, 40, 4)
(290, 30, 1)
(247, 30, 6)
(478, 18, 3)
(302, 40, 0)
(221, 19, 3)
(518, 19, 4)
(217, 18, 3)
(387, 19, 1)
(218, 33, 3)
(511, 38, 3)
(299, 18, 6)
(571, 18, 4)
(298, 33, 2)
(477, 25, 1)
(169, 36, 0)
(517, 27, 3)
(522, 38, 5)
(526, 20, 4)
(303, 11, 3)
(525, 36, 3)
(226, 27, 3)
(274, 25, 1)
(512, 20, 1)
(297, 38, 4)
(287, 27, 5)
(555, 25, 3)
(295, 25, 5)
(304, 6, 5)
(168, 23, 0)
(284, 52, 4)
(483, 27, 4)
(285, 34, 1)
(305, 9, 3)
(286, 24, 1)
(288, 13, 3)
(172, 11, 2)
(294, 11, 5)
(296, 9, 3)
(577, 6, 3)
(569, 13, 4)
(23, 14, 3)
(292, 31, 5)
(576, 9, 5)
(376, 9, 6)
(170, 6, 2)
(484, 14, 6)
(508, 31, 4)
(174, 29, 2)
(485, 13, 5)
(171, 12, 2)
(289, 14, 3)
(173, 24, 6)
(381, 14, 2)
(380, 13, 6)
(278, 12, 3)
(377, 12, 5)
(482, 17, 3)
(481, 12, 3)
(486, 51, 1)
(556, 31, 6)
(487, 52, 6)
(388, 17, 5)
(383, 7, 4)
(588, 7, 3)
(235, 50, 3)
(21, 17, 5)
(22, 50, 5)
(107, 47, 6)
(222, 22, 3)
(583, 22, 3)
(523, 17, 4)
(524, 22, 5)
(515, 37, 1)
(300, 22, 5)
(293, 28, 3)
(366, 28, 4)
(342, 26, 3)
(237, 50, 5)
(385, 28, 3)
(238, 7, 3)
(382, 50, 4)
(224, 28, 3)
(239, 26, 5)
(277, 37, 1)
(364, 7, 5)
(398, 22, 4)
(103, 26, 6)
(106, 37, 1)
(580, 37, 6)
(227, 22, 4)
(266, 3, 4)
(570, 28, 5)
(593, 22, 5)
(516, 22, 4)
(513, 3, 3)
(373, 3, 0)
(223, 28, 5)
(219, 3, 3)
(271, 45, 3)
(554, 7, 1)
(562, 45, 1)
(530, 2, 0)
(573, 2, 3)
(564, 8, 3)
(565, 2, 5)
(567, 34, 3)
(563, 50, 5)
(374, 45, 6)
(375, 8, 5)
(586, 8, 4)
(553, 5, [2, 0])
(531, 34, 0)
(42, 8, 5)
(544, 8, 1)
(590, 44, 3)
(541, 5, 6)
(543, 50, 0)
(230, 8, 4)
(270, 44, 3)
(234, 38, 5)
(589, 8, 3)
(233, 44, 4)
(244, 38, 2)
(269, 33, 1)
(275, 33, 2)
(93, 29, 3)
(250, 44, 6)
(578, 33, 3)
(579, 44, 6)
(259, 33, 5)
(41, 44, 2)
(156, 33, 4)
(162, 44, 2)
(534, 39, 0)
(161, 46, 4)
(36, 46, 6)
(574, 29, 3)
(585, 46, 4)
(584, 35, 5)
(105, 17, 1)
(604, 29, 3)
(566, 35, 5)
(28, 29, 5)
(575, 35, 5)
(158, 47, 5)
(159, 35, 4)
(540, 35, 4)
(594, 35, 3)
(95, 47, 3)
(339, 47, 6)
(379, 47, 2)
(476, 47, 4)
(581, 29, 5)
(242, 20, 0)
(267, 29, 5)
(262, 18, 1)
(251, 29, 1)
(157, 51, 1)
(533, 51, 0)
(535, 18, 0)
(281, 32, 1)
(229, 49, 4)
(243, 35, [2, 6])
(505, 43, 2)
(54, 19, 6)
(55, 17, 2)
(529, 46, 2)
(200, 49, 0)
(167, 32, 4)
(602, 49, 6)
(467, 32, 2)
(155, 15, 2)
(458, 21, 3)
(333, 15, 3)
(20, 25, 0)
(479, 21, [2, 6])
(528, 46, 0)
(346, 19, 0)
(507, 37, 0)
(568, 27, 0)
(587, 21, 5)
(102, 52, 0)
(283, 7, 0)
(19, 42, 2)
(127, 31, 2)
(128, 36, 4)
(31, 43, [0, 6, 1])
(280, 11, 0)
(506, 42, 1)
(391, 28, 0)
(166, 36, [2, 0, 6])
(466, 22, 6)
(129, 31, 0)
(216, 41, 4)
(347, 26, 0)
(390, 41, 0)
(389, 11, 0)
(422, 16, [2, 6])
(442, 26, [2, 0, 4])
(268, 22, 1)
(282, 22, 0)
(440, 24, 0)
(130, 33, 0)
(131, 15, 5)
(75, 16, 3)
(441, 24, [2, 0])
(53, 16, [1, 4])
(77, 25, 6)
(25, 41, 4)
(26, 45, 5)
(96, 15, 0)
(393, 39, 1)
(392, 9, 4)
(0, 6, 0)
(76, 25, 6)
(24, 39, 5)
(228, 9, 2)
(504, 28, 5)
(434, 41, 6)
(1, 39, 0)
(500, 15, 4)
(248, 9, 2)
